timestamp_ms,open,high,low,close,volume
1774231200000,67871.0,67938.5,67862.5,67885.5,185.6975
1774231500000,67885.5,68036.5,67885.5,68036.5,135.4013
1774231800000,68036.5,68049.0,67805.5,67814.5,224.8326
1774232100000,67814.5,67908.0,67775.2,67898.0,148.6624
1774232400000,67898.0,68018.6,67894.8,67996.5,170.3911
1774232700000,67996.5,68245.0,67986.0,68235.0,226.6876
1774233000000,68235.0,68250.1,68177.0,68235.0,183.3409
1774233300000,68235.0,68263.5,68168.1,68177.0,180.8888
1774233600000,68177.0,68340.0,68172.9,68202.0,164.2562
1774233900000,68202.0,68250.0,68180.5,68189.0,191.3432
1774234200000,68189.0,68220.5,68148.8,68166.5,278.7004
1774234500000,68166.5,68292.3,68156.5,68282.5,353.3399
1774234800000,68282.5,68551.5,68282.5,68493.5,321.4626
1774235100000,68493.5,68493.5,68371.4,68374.0,303.1381
1774235400000,68374.0,68407.5,68200.0,68200.0,203.6246
1774235700000,68200.0,68239.7,68151.0,68151.0,324.0976
1774236000000,68151.0,68214.0,68142.0,68175.5,249.9665
1774236300000,68175.5,68193.5,68144.0,68170.0,259.2916
1774236600000,68170.0,68193.5,68128.1,68146.8,316.9424
1774236900000,68146.8,68150.5,68125.7,68130.5,282.525
1774237200000,68130.5,68173.5,68115.5,68173.5,374.3731
1774237500000,68173.5,68181.0,68115.3,68159.7,405.4352
1774237800000,68159.7,68184.0,68100.5,68101.5,403.6689
1774238100000,68101.5,68101.5,68046.8,68046.9,479.834
1774238400000,68046.9,68085.0,68046.4,68077.5,431.9435
1774238700000,68077.5,68172.5,68077.5,68131.5,476.9017
1774239000000,68131.5,68186.0,68117.0,68133.6,352.3714
1774239300000,68133.6,68179.5,68082.5,68146.8,378.2266
1774239600000,68146.8,68186.9,68119.1,68131.5,537.8937
1774239900000,68131.5,68194.0,68110.5,68193.9,368.0629
1774240200000,68193.9,68208.6,68193.9,68208.6,514.897
1774240500000,68208.6,68293.9,68208.5,68293.9,434.1876
1774240800000,68293.9,68332.8,68222.6,68226.0,558.2145
1774241100000,68226.0,68332.8,68226.0,68321.0,437.4195
1774241400000,68321.0,68400.0,68293.5,68400.0,377.3093
1774241700000,68400.0,68508.0,68400.0,68507.7,333.0879
1774242000000,68507.7,68745.5,68507.7,68667.5,500.1888
1774242300000,68667.5,68725.0,68625.0,68674.8,373.7665
1774242600000,68674.8,68744.0,68641.6,68729.5,406.1301
1774242900000,68729.5,68848.0,68691.7,68789.0,454.8245
1774243200000,68789.0,68789.0,68664.3,68665.5,377.9844
1774243500000,68665.5,68708.0,68635.4,68656.5,336.1471
1774243800000,68656.5,68656.5,68550.1,68643.0,554.9733
1774244100000,68643.0,68808.2,68643.0,68661.0,481.9569
1774244400000,68661.0,68661.0,68582.5,68582.5,424.0278
1774244700000,68582.5,68652.5,68573.0,68606.5,465.0581
1774245000000,68606.5,68741.0,68540.0,68708.0,391.5131
1774245300000,68708.0,68869.6,68708.0,68861.0,452.4364
1774245600000,68861.0,68861.0,68688.9,68704.5,452.7753
1774245900000,68704.5,68708.0,68626.9,68658.0,373.4072
1774246200000,68658.0,68690.5,68528.1,68571.5,416.8932
1774246500000,68571.5,68646.0,68557.0,68595.0,382.6084
1774246800000,68595.0,68611.0,68479.5,68537.5,382.995
1774247100000,68537.5,68587.0,68502.0,68519.7,505.7547
1774247400000,68519.7,68537.0,68399.6,68406.5,514.6349
1774247700000,68406.5,68406.5,68054.9,68071.5,356.5326
1774248000000,68071.5,68170.8,68020.7,68020.7,323.2877
1774248300000,68020.7,68055.7,67969.0,67987.5,318.6745
1774248600000,67987.5,68055.7,67781.0,67793.6,318.2915
1774248900000,67793.6,67860.5,67756.5,67846.0,243.2809
1774249200000,67846.0,67846.0,67638.3,67638.3,102.0142
1774249500000,67638.3,67810.5,67467.6,67745.2,169.1013
1774249800000,67745.2,67952.1,67744.7,67925.5,155.7792
1774250100000,67925.5,67956.0,67861.0,67951.5,170.5921
1774250400000,67951.5,67965.7,67738.0,67738.0,248.7567
1774250700000,67738.0,67795.0,67702.9,67768.7,226.6977
1774251000000,67768.7,67961.5,67743.5,67952.5,207.4137
1774251300000,67952.5,68244.9,67952.5,68185.9,474.0497
1774251600000,68185.9,68308.1,68149.5,68293.8,217.298
1774251900000,68293.8,68398.1,68293.8,68324.3,180.209
1774252200000,68324.3,68385.5,68292.4,68382.0,244.0658
1774252500000,68382.0,68425.9,68250.5,68299.5,598.5561
1774252800000,68299.5,68438.0,68299.5,68413.0,709.5569
1774253100000,68413.0,68529.8,68370.4,68522.0,671.2069
1774253400000,68522.0,68650.4,68437.6,68609.3,629.4698
1774253700000,68609.3,68664.6,68435.9,68452.5,468.9335
1774254000000,68452.5,68546.7,68413.5,68463.0,555.6251
1774254300000,68463.0,68478.5,68434.0,68434.0,649.4867
1774254600000,68434.0,68578.5,68372.6,68564.5,400.1195
1774254900000,68564.5,68581.5,68455.0,68488.6,441.5251
1774255200000,68488.6,68613.3,68476.5,68512.0,544.1221
1774255500000,68512.0,68527.0,68408.0,68422.0,724.4312
1774255800000,68422.0,68487.5,68383.1,68417.5,523.729
1774256100000,68417.5,68437.8,68280.3,68404.5,291.7303
1774256400000,68404.5,68440.5,68275.1,68275.1,212.5305
1774256700000,68275.1,68280.8,68181.1,68271.0,318.6495
1774257000000,68271.0,68271.0,68218.4,68258.7,219.2636
1774257300000,68258.7,68306.5,68219.3,68235.0,281.6274
1774257600000,68235.0,68332.5,68169.0,68171.1,244.9449
1774257900000,68171.1,68224.0,68100.5,68224.0,220.1493
1774258200000,68224.0,68224.0,67981.6,67997.5,243.9607
1774258500000,67997.5,68098.0,67882.0,68078.4,253.1243
1774258800000,68078.4,68176.4,68025.8,68097.5,244.5659
1774259100000,68097.5,68219.1,68097.5,68142.5,192.8217
1774259400000,68142.5,68190.8,68131.5,68143.5,226.5408
1774259700000,68143.5,68302.0,68143.5,68302.0,180.6783
1774260000000,68302.0,68416.5,68269.6,68415.5,156.328
1774260300000,68415.5,68650.4,68415.5,68592.0,223.6499
1774260600000,68592.0,68678.0,68550.0,68571.6,482.0974
1774260900000,68571.6,68586.5,68487.9,68490.0,317.6501
1774261200000,68490.0,68496.5,68376.0,68402.5,409.9082
1774261500000,68402.5,68465.0,68382.0,68430.0,237.7184
1774261800000,68430.0,68442.5,68375.5,68390.0,298.9763
1774262100000,68390.0,68447.0,68288.0,68295.5,191.9246
1774262400000,68295.5,68393.4,68262.1,68383.6,231.2707
1774262700000,68383.6,68412.7,68333.0,68351.9,212.0558
1774263000000,68351.9,68529.5,68351.9,68479.0,365.2398
1774263300000,68479.0,68546.5,68468.0,68515.0,602.9475
1774263600000,68515.0,68642.6,68503.9,68533.6,728.5444
1774263900000,68533.6,71204.0,68533.6,71181.7,624.2439
1774264200000,71181.7,71463.7,70805.3,70925.0,856.3267
1774264500000,70925.0,71210.1,70661.0,70693.0,626.0758
1774264800000,70693.0,70882.4,70268.0,70514.0,602.2489
1774265100000,70514.0,70786.0,70514.0,70666.0,491.9214
1774265400000,70666.0,71171.0,70666.0,70977.1,583.5915
1774265700000,70977.1,70977.1,70358.0,70651.7,592.5867
1774266000000,70651.7,70762.9,70537.1,70634.9,628.984
1774266300000,70634.9,70662.2,70071.0,70402.0,583.8918
1774266600000,70402.0,70541.3,70241.8,70467.5,346.9436
1774266900000,70467.5,70467.5,70031.5,70071.5,389.2274
1774267200000,70071.5,70267.7,69658.5,69895.5,277.5049
1774267500000,69895.5,70069.6,69768.8,70042.5,331.8332
1774267800000,70042.5,70121.1,69958.8,69971.2,376.3839
1774268100000,69971.2,70231.8,69930.5,70231.8,332.1321
1774268400000,70231.8,70473.8,70187.6,70291.5,349.1251
1774268700000,70291.5,70358.9,70181.2,70313.5,297.5643
1774269000000,70313.5,70347.4,70139.3,70289.5,341.28
1774269300000,70289.5,70510.6,70230.0,70320.1,323.4524
1774269600000,70320.1,70745.8,70234.4,70694.6,308.6241
1774269900000,70694.6,70835.5,70625.5,70679.0,301.7158
1774270200000,70679.0,70821.3,70563.2,70619.5,337.2354
1774270500000,70619.5,70714.5,70551.0,70714.5,332.1811
1774270800000,70714.5,70853.0,70612.0,70673.0,248.5615
1774271100000,70673.0,70695.8,70567.6,70620.8,357.0258
1774271400000,70620.8,70779.7,70605.7,70712.2,340.5653
1774271700000,70712.2,70811.0,70709.7,70740.5,436.6348
